Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Gelu,tvui,playback,,,2023-10-28 17:35:11
Gelu,tvui,playback,,,2023-10-28 17:34:56
Gelu,tvui,movieDetails,,,2023-10-28 17:34:56
Gelu,tvui,postPlay,,,2023-10-28 17:28:27
Gelu,tvui,playback,,,2023-10-28 17:28:27
Gelu,tvui,playback,,,2023-10-28 17:28:25
Gelu,tvui,postPlay,,,2023-10-28 17:28:25
Gelu,tvui,playback,,,2023-10-28 16:45:07
Gelu,tvui,postPlay,,,2023-10-28 16:45:07
Gelu,tvui,postPlay,,,2023-10-28 16:44:59
Gelu,tvui,playback,,,2023-10-28 16:44:59
Gelu,tvui,playback,,,2023-10-28 16:04:20
Gelu,tvui,postPlay,,,2023-10-28 16:04:20
Gelu,tvui,playback,,,2023-10-28 16:04:17
Gelu,tvui,postPlay,,,2023-10-28 16:04:17
Gelu,tvui,playback,,,2023-10-28 15:00:28
Gelu,tvui,postPlay,,,2023-10-28 15:00:28
Gelu,tvui,postPlay,,,2023-10-28 15:00:27
Gelu,tvui,playback,,,2023-10-28 15:00:27
Gelu,tvui,playback,,,2023-10-28 14:13:13
Gelu,tvui,postPlay,,,2023-10-28 14:13:13
Gelu,tvui,playback,,,2023-10-28 14:13:05
Gelu,tvui,postPlay,,,2023-10-28 14:13:05
Gelu,tvui,movieDetails,,,2023-10-28 13:44:10
Gelu,tvui,playback,,,2023-10-28 13:44:10
Gelu,tvui,movieDetails,,,2023-10-28 13:44:02
Gelu,tvui,screenSaver,,,2023-10-28 13:44:02
Gelu,tvui,movieDetails,,,2023-10-28 13:43:09
Gelu,tvui,screenSaver,,,2023-10-28 13:43:09
Gelu,tvui,movieDetails,,,2023-10-28 13:38:06
Gelu,tvui,playback,,,2023-10-28 13:38:06
Gelu,tvui,movieDetails,,,2023-10-28 12:24:54
Gelu,tvui,playback,,,2023-10-28 12:24:54
Gelu,tvui,browseTitles,,,2023-10-28 12:24:45
Gelu,tvui,movieDetails,,,2023-10-28 12:24:45
Gelu,tvui,movieDetails,,,2023-10-28 12:24:33
Gelu,tvui,browseTitles,,,2023-10-28 12:24:33
Gelu,tvui,playback,,,2023-10-28 12:24:32
Gelu,tvui,movieDetails,,,2023-10-28 12:24:32
Gelu,tvui,movieDetails,,,2023-10-28 12:16:22
Gelu,tvui,playback,,,2023-10-28 12:16:22
Gelu,tvui,movieDetails,,,2023-10-28 12:16:20
Gelu,tvui,browseTitles,,,2023-10-28 12:16:20
Gelu,tvui,profilesGate,,,2023-10-28 12:14:45
Gelu,tvui,browseTitles,,,2023-10-28 12:14:45
Gelu,tvui,profilesGate,,,2023-10-28 12:14:42
Gelu,tvui,movieDetails,,,2023-10-26 20:56:59
Gelu,tvui,playback,,,2023-10-26 20:56:59
Gelu,tvui,movieDetails,,,2023-10-26 20:18:43
Gelu,tvui,playback,,,2023-10-26 20:18:43
Gelu,tvui,browseTitles,,,2023-10-26 20:18:39
Gelu,tvui,movieDetails,,,2023-10-26 20:18:39
Gelu,tvui,browseTitles,,,2023-10-26 20:16:55
Gelu,tvui,screenSaver,,,2023-10-26 20:16:55
Gelu,tvui,browseTitles,,,2023-10-26 20:15:29
Gelu,tvui,screenSaver,,,2023-10-26 20:15:29
Gelu,tvui,profilesGate,,,2023-10-26 20:08:34
Gelu,tvui,browseTitles,,,2023-10-26 20:08:34
Gelu,tvui,profilesGate,,,2023-10-26 20:08:31
Gelu,tvui,browseTitles,,,2023-10-24 17:03:37
Gelu,tvui,profilesGate,,,2023-10-24 17:03:37
Gelu,tvui,movieDetails,,,2023-10-24 16:32:17
Gelu,tvui,browseTitles,,,2023-10-24 16:32:17
Gelu,tvui,playback,,,2023-10-24 16:32:14
Gelu,tvui,movieDetails,,,2023-10-24 16:32:14
Gelu,tvui,movieDetails,,,2023-10-24 16:29:48
Gelu,tvui,playback,,,2023-10-24 16:29:48
Gelu,tvui,browseTitles,,,2023-10-24 16:29:32
Gelu,tvui,movieDetails,,,2023-10-24 16:29:32
Gelu,tvui,screenSaver,,,2023-10-24 16:27:13
Gelu,tvui,browseTitles,,,2023-10-24 16:27:13
Gelu,tvui,browseTitles,,,2023-10-24 16:26:25
Gelu,tvui,screenSaver,,,2023-10-24 16:26:25
Gelu,tvui,profilesGate,,,2023-10-24 16:15:42
Gelu,tvui,profilesGate,,,2023-10-24 16:15:42
Gelu,tvui,browseTitles,,,2023-10-24 16:15:42
Gelu,tvui,profilesGate,,,2023-10-24 16:15:30
Gelu,tvui,profilesGate,,,2023-10-22 19:46:45
Gelu,tvui,browseTitles,,,2023-10-22 19:46:45
Gelu,tvui,browseTitles,,,2023-10-22 19:16:35
Gelu,tvui,movieDetails,,,2023-10-22 19:16:35
Gelu,tvui,postPlay,,,2023-10-22 19:16:33
Gelu,tvui,movieDetails,,,2023-10-22 19:16:33
Gelu,tvui,playback,,,2023-10-22 19:16:25
Gelu,tvui,postPlay,,,2023-10-22 19:16:25
Gelu,tvui,playback,,,2023-10-22 17:34:12
Gelu,tvui,movieDetails,,,2023-10-22 17:34:12
Gelu,tvui,browseTitles,,,2023-10-22 17:34:04
Gelu,tvui,movieDetails,,,2023-10-22 17:34:04
Gelu,tvui,screenSaver,,,2023-10-22 17:31:24
Gelu,tvui,browseTitles,,,2023-10-22 17:31:24
Gelu,tvui,screenSaver,,,2023-10-22 17:26:26
Gelu,tvui,browseTitles,,,2023-10-22 17:26:26
Gelu,tvui,movieDetails,,,2023-10-22 17:17:17
Gelu,tvui,browseTitles,,,2023-10-22 17:17:17
Gelu,tvui,postPlay,,,2023-10-22 17:17:13
Gelu,tvui,movieDetails,,,2023-10-22 17:17:13
Gelu,tvui,playback,,,2023-10-22 17:16:11
Gelu,tvui,postPlay,,,2023-10-22 17:16:11
Gelu,tvui,playback,,,2023-10-22 16:27:24
Gelu,tvui,postPlay,,,2023-10-22 16:27:24
Gelu,tvui,postPlay,,,2023-10-22 16:27:22
Gelu,tvui,playback,,,2023-10-22 16:27:22
Gelu,tvui,postPlay,,,2023-10-22 15:50:20
Gelu,tvui,playback,,,2023-10-22 15:50:20
Gelu,tvui,playback,,,2023-10-22 15:49:58
Gelu,tvui,postPlay,,,2023-10-22 15:49:58
Gelu,tvui,playback,,,2023-10-22 15:13:36
Gelu,tvui,postPlay,,,2023-10-22 15:13:36
Gelu,tvui,playback,,,2023-10-22 15:13:31
